tag,delta,mwu
TSS_1030,-0.13600222222222222,-0.3630174874550921
TSS_364.1,-0.10812444444444444,-0.3611438283023659
TSS_612,-0.20783999999999997,-0.36107750465047267
TSS_476.2,-0.1950522222222222,-0.3543999099235233
TSS_623,-0.18679222222222222,-0.3535211593185767
TSS_626.1,-0.12314777777777779,-0.3518474805477532
TSS_406,-0.10232000000000001,-0.351672933012345
TSS_241,-0.1865788888888889,-0.3506607311239385
TSS_6.2,-0.1194511111111111,-0.34538449675202365
TSS_200,-0.12834666666666666,-0.34430168815090095
TSS_1015.1,-0.1855811111111111,-0.33525483343790785
TSS_937.1,-0.19492222222222225,-0.3347294291368211
TSS_91,-0.5280666666666667,-0.33391613817135934
TSS_219,-0.17722777777777776,-0.32935815555702885
TSS_649,-0.11146999999999999,-0.3274453769077073
TSS_153,-0.33332555555555554,-0.3272943716605208
TSS_811,-0.27818,-0.3270871496515041
TSS_1080,-0.11586555555555554,-0.3225325697258444
TSS_809.1,-0.1941977777777778,-0.32054867963067357
TSS_352,-0.1568166666666667,-0.31527700801645997
TSS_1033.1,-0.17919000000000002,-0.3135590221280202
TSS_944,-0.19239,-0.3134594474754441
TSS_309,-0.09294666666666668,-0.3133975170127058
TSS_1111.3,-0.17638111111111107,-0.30386282132471
TSS_804.1,-0.1457844444444444,-0.301057514870388
TSS_1057,-0.1652611111111111,-0.2966466774917963
TSS_11,-0.3007855555555556,-0.21493401045946195
TSS_795.2,-0.16276444444444443,-0.2021019861686052
TSS_1076.2,-0.16151,-0.1956556262357173
TSS_333.1,-0.0750888888888889,-0.17691958292588647
TSS_1058*,-0.14840444444444445,-0.17676016964141195
TSS_699,-0.12553666666666666,-0.17543277871889387
TSS_1079,-0.17744666666666664,-0.17368552661050882
TSS_67.1,-0.17879777777777775,-0.16901200716701342
TSS_163,0.26153444444444446,-0.16880328773063905
TSS_1108,-0.18293555555555555,-0.16802442228350167
TSS_168.1,-0.18599777777777776,-0.16779787277532646
TSS_866,-0.28420666666666666,-0.16714442620026662
TSS_21,-0.18092111111111112,-0.16593218501883375
TSS_383,0.07617444444444445,-0.1655965225561492
TSS_1122,-0.12979,-0.16157196102927177
TSS_1106,-0.03664666666666668,-0.16113336493799177
TSS_189,-0.22768555555555559,-0.16080786400993516
TSS_765,-0.22919111111111112,-0.1607464685207748
TSS_169,-0.28953666666666666,-0.16035432891565712
TSS_1037,-0.20940666666666666,-0.1592035732919366
TSS_22.2,-0.1457,-0.1587634102463107
TSS_783,-0.24044444444444446,-0.15732650060577696
TSS_824,-0.058496666666666655,-0.15634468668814008
TSS_1051.1,-0.12550888888888886,-0.15590542433016974
TSS_12,-0.27005888888888885,-0.15386181881215333
TSS_614,-0.2992222222222223,-0.15288792293180217
TSS_195,-0.09027777777777775,-0.15108037822618722
TSS_245,-0.2046611111111111,-0.15032553314615937
TSS_617*,-0.15013333333333334,-0.1491363941175348
TSS_1094,-0.11321222222222221,-0.14883603707512819
TSS_350,-0.06704,-0.14860003698765215
TSS_315,-0.11915333333333332,-0.14858160550627114
TSS_911,-0.15370444444444445,-0.14572456041486784
TSS_223,-0.1603244444444444,-0.14571336872893642
TSS_983,-0.12850777777777778,-0.14560055952597137
